0,1,2
4,fukujyuso,幸せを招く
4,fukujyuso,永久の幸福
4,fukujyuso,悲しき思い出
5,snowdrop,希望
5,snowdrop,慰め
6,roubai,ゆかしさ
6,roubai,慈しみ
6,roubai,先導
6,roubai,先見
7,take,節度
7,take,節操のある
8,matsu,不老長寿
8,matsu,哀れみ
8,matsu,同情
9,ume,高潔
9,ume,忠実
9,ume,忍耐
10,crocus,青春の喜び
10,crocus,切望
11,misumisou,自信
11,misumisou,はにかみ屋
12,mansaku,呪文
12,mansaku,魔力
12,mansaku,霊感
12,mansaku,ひらめき
13,seri,清廉で高潔
13,seri,貧しくても高潔
14,benjamin,融通のきく仲間
14,benjamin,信頼
15,sumire,謙虚
15,sumire,誠実
15,sumire,小さな幸せ
16,mokuren,自然への愛
16,mokuren,崇高
16,mokuren,持続性
17,northpole,誠実
17,northpole,冬の足音
17,northpole,高潔
18,hakobe,ランデブー
18,hakobe,愛らしい
19,freesia,あどけなさ
19,freesia,純潔
19,freesia,親愛の情
20,stock,永遠の美
20,stock,愛情の絆
20,stock,求愛
21,sweetalyssum,優美
21,sweetalyssum,美しさに優る価値
22,cattleya,優美な貴婦人
22,cattleya,成熟した大人の魅力
22,cattleya,魔力
22,cattleya,魅惑的
23,cyclamen,遠慮
23,cyclamen,気後れ
23,cyclamen,内気
23,cyclamen,はにかみ
24,cymbidium,飾らない心
24,cymbidium,素朴
24,cymbidium,高貴な美人
24,cymbidium,華やかな恋
25,oncidium,可憐
25,oncidium,一緒に踊って
26,dendrobium,わがままな美人
27,kingyosou,おしゃべり
27,kingyosou,でしゃばり
27,kingyosou,おせっかい
27,kingyosou,推測ではやはりNO
28,kochouran,幸福が飛んでくる
28,kochouran,純粋な愛
28,kochouran,清純
29,marguerit,恋占い
29,marguerit,真実の愛
29,marguerit,信頼
30,nazuna,あなたに私のすべてを捧げます
31,primula,青春のはじまりと悲しみ
31,primula,青春の恋
32,sanshuyu,持続
32,sanshuyu,耐久
32,sanshuyu,気丈な愛
33,yukiyanagi,愛らしさ
33,yukiyanagi,気まま
33,yukiyanagi,殊勝
34,shunran,控えめな美
35,kinsenka,別れの悲しみ
35,kinsenka,悲嘆
35,kinsenka,寂しさ
35,kinsenka,失望
36,ranunculus,とても魅力的
36,ranunculus,晴れやかな魅力
36,ranunculus,光輝を放つ
37,ivy,永遠の愛
37,ivy,友情
37,ivy,不滅
37,ivy,結婚
37,ivy,誠実
38,anthurium,煩悩
38,anthurium,恋にもだえる心
39,anemone,はかない恋
39,anemone,恋の苦しみ
39,anemone,見捨てられた
39,anemone,見放された
40,guzmania,理想の夫婦
40,guzmania,情熱
41,oubai,控えめな美
41,oubai,期待
41,oubai,恩恵
42,snowflake,純粋
42,snowflake,純潔
42,snowflake,汚れなき心
42,snowflake,皆をひきつける魅力
43,fuchsia,つつましい愛
43,fuchsia,信じる愛
44,amaryllis,誇り
44,amaryllis,おしゃべり
44,amaryllis,輝くばかりの美しさ
45,ojigisou,繊細な感情
45,ojigisou,感受性
45,ojigisou,敏感
46,carolina-jasmine-hanakotoba,甘いささやき
46,carolina-jasmine-hanakotoba,長寿
47,plumeria,気品
47,plumeria,恵まれた人
47,plumeria,日だまり
47,plumeria,内気な乙女
48,heliotrope,献身的な愛
48,heliotrope,夢中
48,heliotrope,熱望
49,nanakamado,慎重
49,nanakamado,賢明
49,nanakamado,私はあなたを見守る
50,nemophila,どこでも成功
50,nemophila,可憐
50,nemophila,あなたを許す
51,katakuri,初恋
51,katakuri,寂しさに耐える
52,gazania,あなたを誇りに思う
52,gazania,きらびやか
52,gazania,潔白
53,muscari,失望
53,muscari,失意
54,sakurasou,初恋
54,sakurasou,憧れ
54,sakurasou,純潔
55,pansy,もの思い
55,pansy,私を思って
56,tsubaki,控えめな優しさ
56,tsubaki,誇り
57,boke,平凡
57,boke,早熟
57,boke,先駆者
58,okinagusa,清純な心
58,okinagusa,告げられぬ恋
58,okinagusa,何も求めない
58,okinagusa,裏切りの恋
59,nanohana,快活
59,nanohana,明るさ
60,bluebell,謙遜
60,bluebell,変わらぬ心
61,wasurenagusa,真実の愛
61,wasurenagusa,私を忘れないで
62,hyacinth,スポーツ
62,hyacinth,ゲーム
62,hyacinth,遊び
62,hyacinth,悲しみを超えた愛
63,shakuyaku,恥じらい
63,shakuyaku,はにかみ
63,shakuyaku,謙遜
64,yukinoshita,深い愛情
65,hotokenoza,調和
65,hotokenoza,輝く心
66,jinchouge,栄光
66,jinchouge,不死
66,jinchouge,不滅
66,jinchouge,永遠
67,himarayayukinoshita,秘めた感情
67,himarayayukinoshita,順応
68,gerbera,希望
68,gerbera,常に前進
69,ooinunofuguri,忠実
69,ooinunofuguri,信頼
69,ooinunofuguri,清らか
70,kalmia,優美な女性
70,kalmia,大きな希望
70,kalmia,野心
71,rengyou,期待
71,rengyou,希望
71,rengyou,集中力
72,yadorigi,私にキスして
72,yadorigi,困難に打ち克つ
73,edelweiss,大切な思い出
73,edelweiss,勇気
74,rhodanthe,変わらぬ思い
74,rhodanthe,終わりのない友情
75,chamomile,逆境に耐える
75,chamomile,逆境で生まれる力
76,mimosa,秘密の恋
76,mimosa,友情
77,cneraria,いつも快活
77,cneraria,喜び
78,daisy,純潔
78,daisy,美人
78,daisy,平和
78,daisy,希望
79,mitsumata,強靱
79,mitsumata,肉親の絆
80,laurel,栄光
80,laurel,勝利
80,laurel,栄誉
81,saintpaulia,小さな愛
82,tanpopo,愛の神託
82,tanpopo,神託
82,tanpopo,真心の愛
82,tanpopo,別離
83,alstroemeria,持続
83,alstroemeria,未来への憧れ
83,alstroemeria,エキゾチック
84,shakunage,威厳
84,shakunage,荘厳
84,shakunage,危険
85,mukuge,信念
85,mukuge,新しい美
86,marsh-mallow,恩恵
86,marsh-mallow,慈善
87,poppy,いたわり
87,poppy,思いやり
87,poppy,恋の予感
87,poppy,陽気で優しい
88,apricot,臆病な愛
88,apricot,乙女のはにかみ
88,apricot,疑い
88,apricot,疑惑
89,tsurunichinichisou,楽しき思い出
89,tsurunichinichisou,幼なじみ
90,kalanchoe,幸福を告げる
90,kalanchoe,たくさんの小さな思い出
90,kalanchoe,あなたを守る
90,kalanchoe,おおらかな心
91,bara,愛
91,bara,美
92,yucca,颯爽とした
92,yucca,勇壮
93,ornithogalum,純粋
93,ornithogalum,才能
94,scilla,寂しさ
94,scilla,哀れ
94,scilla,多感な心
94,scilla,変わらない愛
95,strawflower,永遠の思い出
95,strawflower,いつまでも続く喜び
96,thrift,同情
96,thrift,思いやり
96,thrift,共感
97,kanenonaruki,幸運を招く
97,kanenonaruki,一攫千金
97,kanenonaruki,富
98,yagurumagiku,繊細
98,yagurumagiku,優美
98,yagurumagiku,教育
98,yagurumagiku,信頼
99,peach,私はあなたのとりこ
99,peach,天下無敵
99,peach,気立ての良さ
100,rengeso,あなたと一緒なら苦痛がやわらぐ
100,rengeso,心がやわらぐ
101,azalea,節制
101,azalea,禁酒
101,azalea,恋の喜び
102,fancy-geranium,あでやかな装い
102,fancy-geranium,篤い信仰
103,murasaki-keman,喜び
103,murasaki-keman,あなたの助けになる
104,kunshiran,高貴
104,kunshiran,誠実
104,kunshiran,情け深い
105,linaria,この恋に気づいて
106,tsukushi,向上心
106,tsukushi,意外
106,tsukushi,驚き
107,campanula,感謝
107,campanula,誠実
107,campanula,節操
108,nirinsou,友情
108,nirinsou,協力
108,nirinsou,ずっと離れない
109,nigella,当惑
109,nigella,ひそかな喜び
110,tweedia,幸福な愛
110,tweedia,信じあう心
111,kobushi,友情
111,kobushi,友愛
111,kobushi,愛らしさ
112,asebi,犠牲
112,asebi,献身
112,asebi,あなたと二人で旅をしましょう
113,lupine,想像力
113,lupine,いつも幸せ
113,lupine,貪欲
113,lupine,あなたは私の安らぎ
114,shasta-daisy,忍耐
115,california-poppy,富
115,california-poppy,成功
115,california-poppy,私を拒絶しないで
116,enishida,謙遜
116,enishida,卑下
116,enishida,清潔
117,ikarisou,君を離さない
117,ikarisou,旅立ち
118,bluedaisy,恵まれている
118,bluedaisy,幸福
118,bluedaisy,協力
119,iberis,心をひきつける
119,iberis,初恋の思い出
119,iberis,甘い誘惑
120,whitelaceflower,可憐な心
120,whitelaceflower,細やかな愛情
120,whitelaceflower,感謝
121,hanazuou,裏切り
121,hanazuou,不信仰
122,hanakaidou,温和
122,hanakaidou,美人の眠り
122,hanakaidou,艶麗
123,hanamizuki,永続性
123,hanamizuki,返礼
123,hanamizuki,私の想いを受けてください
124,tosamizuki,清楚
124,tosamizuki,優雅
124,tosamizuki,伝言
125,azami,独立
125,azami,報復
125,azami,厳格
125,azami,触れないで
126,sweetpea,門出
126,sweetpea,別離
126,sweetpea,ほのかな喜び
126,sweetpea,優しい思い出
127,baimo,謙虚な心
127,baimo,才能
128,tulip,思いやり
129,delphinium,清明
130,gladiolus,密会
130,gladiolus,用心
130,gladiolus,思い出
130,gladiolus,忘却
130,gladiolus,勝利
131,hananira,悲しい別れ
132,digitalis,不誠実
132,digitalis,熱愛
133,bridalveil,幸福
133,bridalveil,願い続ける
134,yamabuki,気品
134,yamabuki,崇高
134,yamabuki,金運
135,ebine-hanakotoba,謙虚
135,ebine-hanakotoba,謙虚な恋
136,gobou,私にさわらないで
136,gobou,しつこくせがむ
136,gobou,用心
136,gobou,いじめないで
137,wildstrawberry,尊重と愛情
137,wildstrawberry,幸福な家庭
137,wildstrawberry,無邪気
138,sumomo,誤解
139,ichigo,尊重と愛情
139,ichigo,幸福な家庭
139,ichigo,先見の明
139,ichigo,あなたは私を喜ばせる
140,sakura,精神の美
140,sakura,優美な女性
141,clover,私を思って
141,clover,幸運
141,clover,約束
141,clover,復讐
142,geranium,尊敬
142,geranium,信頼
142,geranium,真の友情
143,adiantum,天真爛漫
143,adiantum,繊細
144,ezogiku,変化
144,ezogiku,追憶
144,ezogiku,同感
144,ezogiku,信じる恋
145,kasumisou,清らかな心
145,kasumisou,無邪気
145,kasumisou,親切
145,kasumisou,幸福
146,fuji,優しさ
146,fuji,歓迎
146,fuji,決して離れない
146,fuji,恋に酔う
147,nasturtium,愛国心
147,nasturtium,勝利
147,nasturtium,困難に打ち克つ
148,dimorphotheca,富
148,dimorphotheca,豊富
149,shibazakura,合意
149,shibazakura,一致
149,shibazakura,臆病な心
150,apple,優先
150,apple,好み
150,apple,選択
151,coreopsis,いつも陽気
151,coreopsis,一目惚れ
152,doudantsutsuji,上品
152,doudantsutsuji,節制
153,harujion,追想の愛
154,utsugi,秘密
154,utsugi,古風
155,godetia,変わらぬ愛
155,godetia,お慕いいたします
156,catchfly,罠
156,catchfly,未練
157,japanese-azalea,情熱
157,japanese-azalea,堅実
158,iris,よい便り
158,iris,メッセージ
158,iris,希望
159,pothos,長い幸
159,pothos,永遠の富
159,pothos,華やかな明るさ
160,larkspur,陽気
160,larkspur,快活
161,ichihatsu,使者
161,ichihatsu,火の用心
161,ichihatsu,付き合い上手
162,nashi,愛情
163,ixia,誇り高い
163,ixia,秘めた恋
163,ixia,団結
164,kodemari,優雅
164,kodemari,上品
164,kodemari,友情
165,scabiosa,不幸な愛
165,scabiosa,私はすべてを失った
166,ajuga-hanakotoba,強い友情
166,ajuga-hanakotoba,心休まる家庭
167,shaga,反抗
167,shaga,友人が多い
168,baikautsugi,回想
168,baikautsugi,気品
169,suzuran,再び幸せが訪れる
169,suzuran,純粋
169,suzuran,純潔
169,suzuran,謙遜
170,mitsubatsutsuji,節制
170,mitsubatsutsuji,抑制のきいた生活
171,phlox,合意
171,phlox,一致
172,clematis,精神の美
172,clematis,旅人の喜び
172,clematis,策略
173,mizubashou,美しい思い出
174,stokesia,追想
174,stokesia,清楚な娘
175,miniature-rose,特別の功績
175,miniature-rose,果てしなき愛
176,kuchinashi,とても幸せです
176,kuchinashi,喜びを運ぶ
176,kuchinashi,洗練
176,kuchinashi,優雅
177,statice,変わらぬ心
177,statice,途絶えぬ記憶
178,egonoki-hanakotoba,壮大
179,bellflower,感謝
179,bellflower,誠実
179,bellflower,楽しいおしゃべり
180,kiri,高尚
181,ageratum,信頼
181,ageratum,安楽
182,astilbe,恋の訪れ
182,astilbe,自由
183,thunbergia,黒い瞳
183,thunbergia,美しい瞳
184,sanzashi,希望
184,sanzashi,慎重
185,dokudami,野生
185,dokudami,白い追憶
186,allium,深い悲しみ
186,allium,正しい主張
187,exacum,あなたを愛します
188,petunia,あなたと一緒なら心がやわらぐ
188,petunia,心のやすらぎ
189,satsuki,節制
190,burashinoki,恋の炎
190,burashinoki,はかない恋
191,katabami,喜び
191,katabami,輝く心
191,katabami,母のやさしさ
192,yuzu,健康美
192,yuzu,汚れなき人
192,yuzu,恋のため息
193,hyssop,清潔
193,hyssop,浄化
194,olive,平和
194,olive,知恵
195,sandersonia,望郷
195,sandersonia,祈り
195,sandersonia,愛嬌
196,matricaria,鎮静
196,matricaria,集う喜び
197,oodemari,華やかな恋
197,oodemari,約束を守って
197,oodemari,天国
198,gloriosa,栄光
198,gloriosa,勇敢
199,veronica,忠実
199,veronica,名誉
200,odamaki,愚か
201,atsumorisou,君を忘れない
202,thyme,勇気
202,thyme,活動力
203,ajisai,移り気
203,ajisai,冷淡
203,ajisai,辛抱強さ
203,ajisai,冷酷
203,ajisai,無情
203,ajisai,高慢
204,suikazura,愛の絆
204,suikazura,献身的な愛
205,nikkoukisuge,日々あらたに
205,nikkoukisuge,心安らぐ人
206,dahlia,華麗
206,dahlia,優雅
206,dahlia,気品
206,dahlia,移り気
206,dahlia,不安定
207,marigold,嫉妬
207,marigold,絶望
207,marigold,悲しみ
208,hotarubukuro,忠実
208,hotarubukuro,正義
209,penstemon,あなたに見とれています
210,tsutsuji,節度
210,tsutsuji,慎み
211,jasmine,愛想のよい
211,jasmine,優美
211,jasmine,愛らしさ
211,jasmine,官能的
212,taisanboku,前途洋洋
212,taisanboku,壮麗
213,acanthus,芸術
213,acanthus,技巧
214,agapanthus,恋の訪れ
214,agapanthus,ラブレター
214,agapanthus,知的な装い
215,benibana,化粧
215,benibana,装い
215,benibana,包容力
216,lilac,思い出
216,lilac,友情
216,lilac,謙虚
217,shimotsuke,はかなさ
217,shimotsuke,無駄
217,shimotsuke,無益
218,carnation,無垢で深い愛
219,yamaboushi,友情
220,tuberose,危険な快楽
221,natsutsubaki,はかない美しさ
221,natsutsubaki,愛らしさ
222,kibanakosumosu,野性的な美しさ
223,liatris,燃える思い
223,liatris,向上心
223,liatris,長すぎた恋愛
224,tachiaoi,大望
224,tachiaoi,野心
224,tachiaoi,豊かな実り
224,tachiaoi,気高く威厳に満ちた美
225,rose-campion,私の愛は不変
226,chestnut,私に対して公平であれ
226,chestnut,贅沢
227,tsukimisou,無言の愛情
227,tsukimisou,移り気
228,silkjasmine,純真な心
229,matsuyoigusa,浴後の美人
229,matsuyoigusa,気まぐれ
230,gamazumi,結合
230,gamazumi,私を無視しないで
231,miyakowasure,しばしの慰め
231,miyakowasure,別れ
232,biyouyanagi,気高さ
232,biyouyanagi,多感
233,verbena,魔力
233,verbena,魅力
234,otogirisou,迷信
234,otogirisou,敵意
234,otogirisou,秘密
234,otogirisou,恨み
235,hirugao,絆
235,hirugao,友達のよしみ
235,hirugao,情事
236,montbretia,謙譲の美
236,montbretia,陽気
237,pentas,希望がかなう
237,pentas,願い事
238,calla,華麗なる美
238,calla,乙女のしとやかさ
238,calla,清浄
239,tokeisou,聖なる愛
239,tokeisou,信仰
239,tokeisou,宗教的熱情
240,lisianthus,すがすがしい美しさ
240,lisianthus,優美
240,lisianthus,希望
241,himeyuri,誇り
242,matsubagiku,怠惰
242,matsubagiku,怠け者
242,matsubagiku,勲功
243,feijoa,情熱に燃える心
243,feijoa,甘美な思い出
244,hasu,清らかな心
244,hasu,神聖
244,hasu,離れゆく愛
244,hasu,雄弁
245,nejibana,思慕
246,lavender,沈黙
246,lavender,私に答えてください
246,lavender,期待
246,lavender,不信感
246,lavender,疑惑
247,lobelia,悪意
247,lobelia,謙遜
248,hamanasu,悲しくそして美しく
249,himawari,私はあなただけを見つめる
249,himawari,愛慕
249,himawari,崇拝
250,asagao,はかない恋
250,asagao,固い絆
250,asagao,愛情
251,tsuyukusa,なつかしい関係
252,hamayuu,どこか遠くへ
252,hamayuu,汚れのない
253,abelia,強運
253,abelia,謙虚
253,abelia,謙譲
254,suiren,清純な心
254,suiren,信頼
254,suiren,信仰
255,suguri,あなたの不機嫌が私を苦しめる
255,suguri,私はあなたを喜ばせる
256,hoozuki,偽り
256,hoozuki,ごまかし
257,bodaijyu,夫婦愛
257,bodaijyu,結婚
258,giboushi,沈静
259,gloxinia,華やかな日々
259,gloxinia,艶麗
259,gloxinia,媚態
260,hibiscus,繊細な美
260,hibiscus,新しい恋
261,ruritamaazami,鋭敏
261,ruritamaazami,傷つく心
262,nokogirisou,戦い
262,nokogirisou,勇敢
262,nokogirisou,治癒
263,hoteiaoi,揺れる心
263,hoteiaoi,恋の悲しみ
264,hageitou,不老不死
265,nadeshiko,大胆
265,nadeshiko,純愛
265,nadeshiko,貞節
266,nouzenkazura,名声
266,nouzenkazura,名誉
267,nemunoki,歓喜
267,nemunoki,胸のときめき
268,portulaca,いつも元気
269,ginger-lily,豊かな心
269,ginger-lily,無駄なこと
270,asclepias,私を行かせて
270,asclepias,心変わり
271,torikabuto,騎士道
271,torikabuto,栄光
271,torikabuto,人嫌い
271,torikabuto,厭世家
271,torikabuto,復讐
272,gekkabijin,はかない美
272,gekkabijin,はかない恋
272,gekkabijin,あでやかな美人
273,rudbeckia,正義
273,rudbeckia,公平
273,rudbeckia,あなたを見つめる
274,mint,美徳
274,mint,効能
275,rukousou,繊細な愛
275,rukousou,おせっかい
275,rukousou,でしゃばり
276,lily,純粋
276,lily,無垢
276,lily,威厳
277,botan,風格
277,botan,富貴
277,botan,恥じらい
277,botan,人見知り
278,impatiens,鮮やかな人
278,impatiens,強い個性
279,bougainvillea,情熱
279,bougainvillea,あなたは魅力に満ちている
279,bougainvillea,あなたしか見えない
280,hanatoranoo,望みの成就
280,hanatoranoo,達成
280,hanatoranoo,希望
281,oshiroibana,臆病
281,oshiroibana,内気
281,oshiroibana,恋を疑う
282,saboten,燃える心
282,saboten,偉大
282,saboten,暖かい心
282,saboten,枯れない愛
283,nichinichisou,楽しい思い出
284,kikyou,永遠の愛
284,kikyou,誠実
284,kikyou,清楚
284,kikyou,従順
285,canna,情熱
285,canna,快活
285,canna,永遠
285,canna,妄想
286,matsubabotan,無邪気
286,matsubabotan,可憐
287,butterfly-bush,恋の予感
287,butterfly-bush,あなたを慕う
288,cotton-lavender,悪を遠ざける
288,cotton-lavender,移り気な人
289,tritoma,恋するつらさ
289,tritoma,あなたを思うと胸が痛む
290,erica,孤独
290,erica,寂しさ
290,erica,博愛
290,erica,良い言葉
291,murasakitsuyukusa,尊敬しているが恋愛ではない
292,zinnia,不在の友を思う
292,zinnia,注意を怠るな
293,bluewings,ひらめき
293,bluewings,愛嬌
294,zakuro,円熟した優雅さ
295,cleome,秘密のひととき
295,cleome,あなたの容姿に酔う
296,kyouchikutou,注意
296,kyouchikutou,危険
296,kyouchikutou,用心
297,streptocarpus,ささやきに耳を傾けて
297,streptocarpus,信頼に応える
298,sanvitalia,私を見つめて
299,kuroyuri,恋
299,kuroyuri,呪い
300,tansy,あなたとの戦いを宣言する
300,tansy,抵抗
300,tansy,婦人の美徳
301,sagisou,清純
301,sagisou,繊細
301,sagisou,夢でもあなたを想う
302,goldenrod,予防
302,goldenrod,用心
302,goldenrod,警戒
302,goldenrod,励まし
303,sennichikou,色あせぬ愛
303,sennichikou,不朽
304,usubeniaoi,穏やか
304,usubeniaoi,柔和な心
305,winged-everlasting,不変の誓い
305,winged-everlasting,永遠の悲しみ
306,ominaeshi,美人
306,ominaeshi,はかない恋
306,ominaeshi,親切
307,datura,愛嬌
307,datura,偽りの魅力
308,coleus,かなわぬ恋
308,coleus,善良な家風
308,coleus,健康
309,blueberry,実りのある人生
309,blueberry,知性
310,curcuma,あなたの姿に酔いしれる
311,keitou,おしゃれ
311,keitou,気取り
311,keitou,風変わり
312,waremokou,変化
312,waremokou,もの思い
312,waremokou,愛慕
313,new-york-aster,後知恵
313,new-york-aster,老いても元気で
314,housenka,私に触れないで
314,housenka,短気
315,yuugao,夜
315,yuugao,はかない恋
315,yuugao,罪
316,hypericum,きらめき
316,hypericum,悲しみは続かない
317,sarusuberi,雄弁
317,sarusuberi,愛嬌
317,sarusuberi,不用意
318,clover,私を思って
318,clover,幸運
318,clover,約束
318,clover,復讐
319,shuukaidou,恋の悩み
319,shuukaidou,片想い
320,rindou,悲しんでいるあなたを愛する
320,rindou,正義
320,rindou,誠実
321,salvia,尊敬
321,salvia,知恵
321,salvia,良い家庭
321,salvia,家族愛
322,spathiphyllum,上品な淑女
322,spathiphyllum,清らかな心
323,grape,陶酔
323,grape,忘却
323,grape,思いやり
323,grape,慈善
324,misohagi,切ないほどの愛
324,misohagi,愛の悲しみ
324,misohagi,慈悲
325,orange,純粋
325,orange,愛らしさ
325,orange,花嫁の喜び
326,zephyranthes,汚れなき愛
326,zephyranthes,便りがある
326,zephyranthes,期待
327,kiku,高貴
327,kiku,高潔
327,kiku,高尚
328,shion,追憶
328,shion,君を忘れない
328,shion,遠方にある人を思う
329,hekusokazura,人嫌い
329,hekusokazura,誤解を解きたい
329,hekusokazura,意外性のある
330,aloe,苦痛
330,aloe,悲嘆
331,ai,美しい装い
331,ai,あなた次第
332,shuumeigiku,薄れゆく愛
332,shuumeigiku,忍耐
333,susuki,活力
333,susuki,心が通じる
334,akane,私を思って
334,akane,媚び
335,fuusenkazura,一緒に飛びたい
336,misebaya,大切なあなた
336,misebaya,つつましさ
337,higanbana,悲しき思い出
337,higanbana,あきらめ
337,higanbana,独立
337,higanbana,情熱
338,yaburan,隠された心
338,yaburan,忍耐
339,colchicum,私の最良の日々は過ぎ去った
339,colchicum,危険な美しさ
340,sawagikyou,高貴
340,sawagikyou,悪意
340,sawagikyou,特異な才能
341,hagi,思案
341,hagi,内気
341,hagi,柔軟な精神
342,momijiaoi,温和
342,momijiaoi,穏やかさ
343,cosmos,乙女の真心
343,cosmos,調和
343,cosmos,謙虚
344,fujibakama,ためらい
344,fujibakama,遅れ
345,helenium,涙
345,helenium,上機嫌
346,monstera,うれしい便り
346,monstera,壮大な計画
346,monstera,深い関係
347,kaede,大切な思い出
347,kaede,美しい変化
347,kaede,遠慮
348,kinmokusei,謙虚
348,kinmokusei,気高い人
349,hototogisu,永遠にあなたのもの
349,hototogisu,秘めた意志
350,bouvardia,交流
350,bouvardia,親交
350,bouvardia,情熱
351,nerine,また会う日を楽しみに
351,nerine,忍耐
351,nerine,箱入り娘
352,murasakishikibu,聡明
352,murasakishikibu,上品
352,murasakishikibu,愛され上手
353,begonia,片想い
353,begonia,愛の告白
353,begonia,親切
353,begonia,幸福な日々
354,hanakirin,早くキスして
354,hanakirin,逆境に耐える
355,sternbergia,待ちきれない
356,akebi,才能
356,akebi,唯一の恋
357,ichou,荘厳
357,ichou,長寿
357,ichou,鎮魂
358,lantana,心変わり
358,lantana,合意
358,lantana,協力
358,lantana,厳格
359,pachira,快活
359,pachira,勝利
360,bolivian-sunset,繁栄
360,bolivian-sunset,コミュニケーション
361,heliconia,注目
361,heliconia,風変わりな人
362,karin,豊麗
362,karin,唯一の恋
363,gray-leaved-euryops,円満な関係
363,gray-leaved-euryops,夫婦円満
363,gray-leaved-euryops,明るい愛
364,saffron,歓喜
364,saffron,過度をつつしめ
364,saffron,濫用するな
365,eucalyptus,新生
365,eucalyptus,再生
365,eucalyptus,思い出
366,hiiragi,用心深さ
366,hiiragi,先見の明
366,hiiragi,保護
367,manettia,たくさん話しましょう
368,fuyou,繊細な美
368,fuyou,しとやかな恋人
369,karasuuri,よき便り
369,karasuuri,誠実
369,karasuuri,男ぎらい
370,lemon,誠実な愛
370,lemon,思慮分別
371,kouteidahlia,乙女の真心
371,kouteidahlia,乙女の純潔
372,christmasrose,私の不安をやわらげて
372,christmasrose,慰め
372,christmasrose,中傷
373,himejyoon,素朴で清楚
374,tsuwabuki,謙譲
374,tsuwabuki,困難に負けない
375,angraecum,祈り
375,angraecum,いつまでもあなたと一緒
376,strelitzia,気取った恋
376,strelitzia,恋する伊達者
377,firethorn,燃ゆる想い
377,firethorn,美しさはあなたの魅力
377,firethorn,防衛
378,habotan,祝福
378,habotan,物事に動じない
378,habotan,利益
379,dracaena,幸福
380,sazanka,困難に打ち克つ
380,sazanka,ひたむきさ
381,nanten,私の愛は増すばかり
381,nanten,良い家庭
382,poinsettia,祝福
382,poinsettia,幸運を祈る
382,poinsettia,私の心は燃えている
382,poinsettia,清純
383,biwa,治癒
383,biwa,あなたに打ち明ける
383,biwa,密かな告白
384,shakobasaboten,一時の美
384,shakobasaboten,美しい眺め
385,yatsude,健康
385,yatsude,分別
385,yatsude,親しみ
386,pineapple,あなたは完全です
387,platanus,天才
387,platanus,好奇心
388,zakuro,円熟した優雅さ
389,odontoglossum,特別な存在
